filename,Class,pmi
class01_identity1152.png,1,48.0
class01_identity1889.png,1,48.0
class01_identity1652.png,1,33.0
class01_identity1079.png,1,41.0
class01_identity2200.png,1,30.0
class01_identity2638.png,1,41.0
class01_identity0980.png,1,28.0
class01_identity0349.png,1,45.0
class01_identity1966.png,1,34.0
class01_identity0515.png,1,45.0
class01_identity1257.png,1,41.0
class01_identity1781.png,1,44.0
class01_identity0857.png,1,31.0
class01_identity1861.png,1,29.0
class01_identity1685.png,1,36.0
class01_identity2774.png,1,30.0
class01_identity0946.png,1,42.0
class01_identity0239.png,1,41.0
class01_identity0303.png,1,25.0
class01_identity1583.png,1,44.0
class01_identity0202.png,1,35.0
class01_identity2896.png,1,40.0
class01_identity0204.png,1,25.0
class01_identity1350.png,1,28.0
class01_identity0509.png,1,36.0
class01_identity2259.png,1,34.0
class01_identity1325.png,1,32.0
class01_identity0470.png,1,26.0
class01_identity0272.png,1,32.0
class01_identity1723.png,1,43.0
class01_identity1518.png,1,27.0
class01_identity2577.png,1,27.0
class01_identity0054.png,1,48.0
class01_identity2098.png,1,40.0
class01_identity0819.png,1,27.0
class01_identity2563.png,1,42.0
class01_identity2836.png,1,29.0
class01_identity2954.png,1,29.0
class01_identity2984.png,1,46.0
class01_identity2648.png,1,40.0
class01_identity1269.png,1,42.0
class01_identity0842.png,1,30.0
class01_identity1252.png,1,33.0
class01_identity1554.png,1,41.0
class01_identity2982.png,1,44.0
class01_identity0955.png,1,38.0
class01_identity0510.png,1,31.0
class01_identity2510.png,1,42.0
class01_identity1309.png,1,48.0
class01_identity0739.png,1,47.0
class01_identity2951.png,1,31.0
class01_identity1810.png,1,47.0
class01_identity0005.png,1,34.0
class01_identity0338.png,1,37.0
class01_identity1542.png,1,46.0
class01_identity1751.png,1,45.0
class01_identity2667.png,1,36.0
class01_identity1734.png,1,39.0
class01_identity0800.png,1,41.0
class01_identity0388.png,1,39.0
class01_identity2819.png,1,28.0
class01_identity1423.png,1,32.0
class01_identity0013.png,1,32.0
class01_identity1870.png,1,27.0
class01_identity1294.png,1,35.0
class01_identity1725.png,1,25.0
class01_identity1961.png,1,43.0
class01_identity2467.png,1,42.0
class01_identity2270.png,1,32.0
class01_identity0837.png,1,43.0
class01_identity1625.png,1,32.0
class01_identity0103.png,1,25.0
class01_identity0748.png,1,27.0
class01_identity1147.png,1,47.0
class01_identity2028.png,1,45.0
class01_identity2083.png,1,26.0
class01_identity1769.png,1,32.0
class01_identity1422.png,1,27.0
class01_identity0411.png,1,26.0
class01_identity0110.png,1,35.0
class01_identity0270.png,1,27.0
class01_identity2985.png,1,41.0
class01_identity2921.png,1,32.0
class01_identity0189.png,1,33.0
class01_identity0289.png,1,46.0
class01_identity2890.png,1,40.0
class01_identity1290.png,1,31.0
class01_identity1634.png,1,42.0
class01_identity1594.png,1,29.0
class01_identity2114.png,1,48.0
class01_identity0952.png,1,43.0
class01_identity2506.png,1,43.0
class01_identity1118.png,1,40.0
class01_identity0983.png,1,32.0
class01_identity0588.png,1,40.0
class01_identity0004.png,1,38.0
class01_identity1817.png,1,31.0
class01_identity0818.png,1,28.0
class01_identity1121.png,1,28.0
class01_identity2639.png,1,46.0
class01_identity2854.png,1,38.0
class01_identity2175.png,1,36.0
class01_identity0984.png,1,38.0
class01_identity2843.png,1,38.0
class01_identity1974.png,1,39.0
class01_identity0710.png,1,48.0
class01_identity1378.png,1,26.0
class01_identity2307.png,1,46.0
class01_identity1863.png,1,45.0
class01_identity2996.png,1,45.0
class01_identity2572.png,1,28.0
class01_identity1743.png,1,26.0
class01_identity0603.png,1,37.0
class01_identity2459.png,1,48.0
class01_identity1220.png,1,35.0
class01_identity1636.png,1,28.0
class01_identity1426.png,1,32.0
class01_identity1745.png,1,31.0
class01_identity0770.png,1,31.0
class01_identity2919.png,1,42.0
class01_identity2474.png,1,39.0
class01_identity0639.png,1,29.0
class01_identity2825.png,1,38.0
class01_identity1902.png,1,30.0
class01_identity1917.png,1,33.0
class01_identity1032.png,1,39.0
class01_identity0348.png,1,32.0
class01_identity1033.png,1,27.0
class01_identity0460.png,1,39.0
class01_identity0203.png,1,42.0
class01_identity1369.png,1,28.0
class01_identity2884.png,1,26.0
class01_identity0474.png,1,45.0
class01_identity0712.png,1,42.0
class01_identity1555.png,1,25.0
class01_identity2980.png,1,27.0
class01_identity1186.png,1,32.0
class01_identity2788.png,1,30.0
class01_identity2364.png,1,38.0
class01_identity0463.png,1,40.0
class01_identity2504.png,1,40.0
class01_identity1813.png,1,31.0
class01_identity0011.png,1,37.0
class01_identity1550.png,1,26.0
class01_identity1718.png,1,30.0
class01_identity1975.png,1,37.0
class01_identity2993.png,1,25.0
